time,odom_x,kf_x,ekf_x,pf_x
109.540000,0.380509,0.783629,0.319588,0.298035
109.560000,0.380693,0.791037,0.316558,0.299735
109.580000,0.380838,0.794017,0.313754,0.294207
109.600000,0.380942,0.800385,0.310652,0.273119
109.620000,0.381007,0.808355,0.307324,0.256257
109.640000,0.381032,0.815408,0.303946,0.230076
109.660000,0.381016,0.820482,0.300749,0.222090
109.680000,0.380961,0.827091,0.297364,0.231191
109.700000,0.380866,0.832101,0.294000,0.216094
109.720000,0.380730,0.836590,0.290579,0.216506
109.740000,0.380555,0.841408,0.287153,0.210778
109.760000,0.380340,0.845320,0.283733,0.197000
109.780000,0.380084,0.851217,0.280123,0.199589
109.800000,0.379789,0.857122,0.276420,0.200770
109.820000,0.379454,0.864464,0.272499,0.195432
109.840000,0.379080,0.870645,0.268633,0.183774
109.860000,0.378665,0.877442,0.264593,0.152301
109.880000,0.378211,0.882167,0.260702,0.140064
109.900000,0.377717,0.887593,0.256811,0.137801
109.920000,0.377183,0.890806,0.252991,0.142974
109.940000,0.376609,0.896841,0.248892,0.146627
109.960000,0.375996,0.901233,0.244879,0.127995
109.980000,0.375344,0.906853,0.240709,0.122425
110.000000,0.374652,0.912756,0.236456,0.123055
110.020000,0.373921,0.918046,0.232046,0.114121
110.040000,0.373150,0.922058,0.228081,0.121702
110.060000,0.372341,0.927588,0.223718,0.108317
110.080000,0.371492,0.933461,0.219330,0.109283
110.100000,0.370604,0.938381,0.214902,0.094993
110.120000,0.369677,0.944477,0.210371,0.088153
110.140000,0.368711,0.949827,0.205908,0.070486
110.160000,0.367707,0.955891,0.201223,0.068966
110.180000,0.366664,0.960585,0.196802,0.086678
110.200000,0.365582,0.967358,0.191993,0.057165
110.220000,0.364462,0.976417,0.186735,0.025034
110.240000,0.363303,0.982726,0.181966,0.020848
110.260000,0.362107,0.986151,0.177347,0.021781
110.280000,0.360872,0.992029,0.172400,0.010596
110.300000,0.359599,0.996949,0.167582,0.005722
110.320000,0.358288,1.001220,0.162851,0.011968
110.340000,0.356940,1.006794,0.157884,-0.004993
110.360000,0.355554,1.010363,0.153143,-0.016665
110.380000,0.354130,1.014977,0.148313,-0.022449
110.400000,0.352670,1.021851,0.143089,-0.024156
110.420000,0.351172,1.029324,0.137783,-0.028577
110.440000,0.349637,1.032227,0.133045,-0.040435
110.460000,0.348065,1.035982,0.128150,-0.040313
110.480000,0.346456,1.041999,0.123012,-0.056984
110.500000,0.344811,1.048194,0.117749,-0.058278
110.520000,0.343130,1.051879,0.112847,-0.066830
110.540000,0.341412,1.055787,0.107909,-0.077898
110.560000,0.339659,1.062134,0.102657,-0.081082
110.580000,0.337869,1.068806,0.097334,-0.071527
110.600000,0.336044,1.072392,0.092262,-0.068153
110.620000,0.334183,1.081941,0.086503,-0.077278
110.640000,0.332287,1.088663,0.081010,-0.090578
110.660000,0.330356,1.094181,0.075670,-0.106350
110.680000,0.328390,1.097762,0.070517,-0.112109
110.700000,0.326389,1.103120,0.065179,-0.115545
110.720000,0.324354,1.109633,0.059669,-0.117974
110.740000,0.322284,1.113780,0.054454,-0.123967
110.760000,0.320180,1.119928,0.048914,-0.139357
110.780000,0.318042,1.124704,0.043579,-0.136973
110.800000,0.315871,1.132988,0.037741,-0.127992
110.820000,0.313666,1.138607,0.032223,-0.140084
110.840000,0.311428,1.143941,0.026773,-0.149753
110.860000,0.309157,1.148767,0.021407,-0.158223
110.880000,0.306853,1.155611,0.015579,-0.148724
110.900000,0.304516,1.159728,0.010314,-0.147175
110.920000,0.302147,1.163580,0.005081,-0.143422
110.940000,0.299746,1.168486,-0.000392,-0.163722
110.960000,0.297313,1.174390,-0.005913,-0.181353
110.980000,0.294848,1.180350,-0.011527,-0.199696
111.000000,0.292352,1.185468,-0.016984,-0.202673
111.020000,0.289825,1.193664,-0.022727,-0.224686
111.040000,0.287267,1.199172,-0.028344,-0.218814
111.060000,0.284679,1.203384,-0.033749,-0.226055
111.080000,0.282060,1.206705,-0.038839,-0.242844
111.100000,0.279411,1.211214,-0.044264,-0.228394
111.120000,0.276732,1.216083,-0.049620,-0.224881
111.140000,0.274023,1.222626,-0.055185,-0.234825
111.160000,0.271286,1.230213,-0.060972,-0.235213
111.180000,0.268519,1.235281,-0.066329,-0.236818
111.200000,0.265723,1.242196,-0.072175,-0.244204
111.220000,0.262899,1.248380,-0.077675,-0.243474
111.240000,0.260047,1.252834,-0.083020,-0.259376
111.260000,0.257167,1.258979,-0.088699,-0.279887
111.280000,0.254259,1.263970,-0.094002,-0.275883
111.300000,0.251324,1.268110,-0.099309,-0.270283
111.320000,0.248362,1.272961,-0.104566,-0.270779
111.340000,0.245374,1.279387,-0.109999,-0.290383
111.360000,0.242358,1.287608,-0.115550,-0.304454
111.380000,0.239317,1.291538,-0.121046,-0.295913
111.400000,0.236250,1.299197,-0.126519,-0.286980
111.420000,0.233157,1.302999,-0.131633,-0.293743
111.440000,0.230039,1.306485,-0.136759,-0.310197
111.460000,0.226896,1.312255,-0.141951,-0.296870
111.480000,0.223729,1.318561,-0.147333,-0.283115
111.500000,0.220537,1.324485,-0.152657,-0.275868
111.520000,0.217322,1.329660,-0.157796,-0.273108
111.540000,0.214082,1.333920,-0.162884,-0.260159
111.560000,0.210820,1.338504,-0.167723,-0.266300
111.580000,0.207534,1.344423,-0.172986,-0.270296
111.600000,0.204226,1.350422,-0.178170,-0.280979
111.620000,0.200896,1.356276,-0.183267,-0.295388
111.640000,0.197543,1.362547,-0.188332,-0.303465
111.660000,0.194169,1.369387,-0.193527,-0.319555
111.680000,0.190773,1.374646,-0.198577,-0.327563
111.700000,0.187357,1.379940,-0.203459,-0.328317
111.720000,0.183920,1.384681,-0.208235,-0.333479
111.740000,0.180463,1.388792,-0.213041,-0.343226
111.760000,0.176985,1.394293,-0.217756,-0.333429
111.780000,0.173488,1.399611,-0.222588,-0.352049
111.800000,0.169972,1.403681,-0.227051,-0.371126
111.820000,0.166437,1.410746,-0.232093,-0.372649
111.840000,0.162884,1.416900,-0.236658,-0.383952
111.860000,0.159312,1.423250,-0.241418,-0.376854
111.880000,0.155722,1.429146,-0.246064,-0.388382
111.900000,0.152115,1.433669,-0.250454,-0.381971
111.920000,0.148491,1.439614,-0.255116,-0.377410
111.940000,0.144850,1.444274,-0.259410,-0.393696
111.960000,0.141193,1.448611,-0.263718,-0.396019
111.980000,0.137520,1.454009,-0.268054,-0.405359
112.000000,0.133831,1.457577,-0.272072,-0.406043
112.020000,0.130126,1.465016,-0.276538,-0.420061
112.040000,0.126407,1.468959,-0.280648,-0.441796
112.060000,0.122674,1.474270,-0.284775,-0.456425
112.080000,0.118926,1.479485,-0.288883,-0.478362
112.100000,0.115164,1.485840,-0.292969,-0.464377
112.120000,0.111389,1.491767,-0.297041,-0.463032
112.140000,0.107601,1.498473,-0.301094,-0.474011
112.160000,0.103800,1.504011,-0.305048,-0.488412
112.180000,0.099987,1.508092,-0.308851,-0.494587
112.200000,0.096162,1.514347,-0.312619,-0.506774
112.220000,0.092326,1.520721,-0.316516,-0.507291
112.240000,0.088478,1.526436,-0.320326,-0.515259
112.260000,0.084620,1.532482,-0.323901,-0.525175
112.280000,0.080751,1.536185,-0.327361,-0.534806
112.300000,0.076873,1.541694,-0.330922,-0.536213
112.320000,0.072985,1.547450,-0.334399,-0.548722
112.340000,0.069087,1.551082,-0.337661,-0.544950
112.360000,0.065181,1.556841,-0.341082,-0.559926
112.380000,0.061266,1.562383,-0.344317,-0.562182
112.400000,0.057344,1.569535,-0.347713,-0.585716
112.420000,0.053413,1.575829,-0.350928,-0.582831
112.440000,0.049476,1.580857,-0.354031,-0.581599
112.460000,0.045532,1.587112,-0.357122,-0.583549
112.480000,0.041581,1.593467,-0.360224,-0.586543
112.500000,0.037624,1.600621,-0.363309,-0.603822
112.520000,0.033661,1.604881,-0.366155,-0.610979
112.540000,0.029694,1.608817,-0.368773,-0.636167
112.560000,0.025721,1.614571,-0.371555,-0.651958
112.580000,0.021744,1.618895,-0.374131,-0.655075
112.600000,0.017763,1.624347,-0.376721,-0.655647
112.620000,0.013778,1.632172,-0.379382,-0.654109
112.640000,0.009790,1.636574,-0.381842,-0.650736
112.660000,0.005798,1.642194,-0.384225,-0.655989
112.680000,0.001805,1.646360,-0.386544,-0.666586
112.700000,-0.002191,1.651470,-0.388728,-0.675059
112.720000,-0.006188,1.656884,-0.390918,-0.676441
112.740000,-0.010186,1.660283,-0.392947,-0.677119
112.760000,-0.014186,1.667125,-0.395102,-0.667639
112.780000,-0.018186,1.675774,-0.397146,-0.650399
112.800000,-0.022186,1.680576,-0.399164,-0.668866
112.820000,-0.026185,1.690366,-0.401079,-0.669437
112.840000,-0.030184,1.692560,-0.402841,-0.672866
112.860000,-0.034182,1.698669,-0.404513,-0.684180
112.880000,-0.038178,1.702004,-0.406044,-0.683990
112.900000,-0.042173,1.707208,-0.407630,-0.665464
112.920000,-0.046165,1.712685,-0.409090,-0.654688
112.940000,-0.050154,1.717303,-0.410467,-0.653604
112.960000,-0.054140,1.723273,-0.411821,-0.657691
112.980000,-0.058123,1.729371,-0.413112,-0.652838
113.000000,-0.062102,1.733288,-0.414265,-0.661138
113.020000,-0.066076,1.739014,-0.415373,-0.656039
113.040000,-0.070046,1.743034,-0.416373,-0.645050
113.060000,-0.074010,1.747489,-0.417320,-0.660437
113.080000,-0.077970,1.752939,-0.418219,-0.655008
113.100000,-0.081923,1.759146,-0.419054,-0.664165
113.120000,-0.085870,1.766224,-0.419835,-0.657260
113.140000,-0.089810,1.771316,-0.420514,-0.660124
113.160000,-0.093743,1.776424,-0.421104,-0.659168
113.180000,-0.097669,1.780943,-0.421639,-0.655446
113.200000,-0.101587,1.786283,-0.422070,-0.648082
113.220000,-0.105496,1.794121,-0.422479,-0.665136
113.240000,-0.109397,1.798304,-0.422777,-0.678341
113.260000,-0.113289,1.803701,-0.423007,-0.686847
113.280000,-0.117171,1.807636,-0.423158,-0.686862
113.300000,-0.121044,1.814835,-0.423248,-0.685483
113.320000,-0.124906,1.820442,-0.423259,-0.678954
113.340000,-0.128758,1.827312,-0.423191,-0.673067
113.360000,-0.132599,1.831282,-0.423053,-0.673510
113.380000,-0.136428,1.837770,-0.422829,-0.677702
113.400000,-0.140246,1.840787,-0.422562,-0.679410
113.420000,-0.144052,1.844534,-0.422218,-0.680058
113.440000,-0.147845,1.850462,-0.421785,-0.679122
113.460000,-0.151625,1.855123,-0.421296,-0.677742
113.480000,-0.155392,1.861269,-0.420711,-0.654250
113.500000,-0.159145,1.866087,-0.420082,-0.658610
113.520000,-0.162884,1.871907,-0.419343,-0.675672
113.540000,-0.166609,1.878255,-0.418521,-0.660963
113.560000,-0.170319,1.882515,-0.417705,-0.655235
113.580000,-0.174014,1.888541,-0.416750,-0.666702
113.600000,-0.177694,1.895769,-0.415691,-0.658897
113.620000,-0.181358,1.903724,-0.414533,-0.641993
113.640000,-0.185005,1.907469,-0.413405,-0.651933
113.660000,-0.188636,1.912394,-0.412161,-0.679054
113.680000,-0.192249,1.917057,-0.410886,-0.684335
113.700000,-0.195846,1.921839,-0.409551,-0.696214
113.720000,-0.199425,1.926988,-0.408142,-0.683784
113.740000,-0.202985,1.931731,-0.406624,-0.680450
113.760000,-0.206528,1.936614,-0.405017,-0.684214
113.780000,-0.210051,1.942795,-0.403371,-0.692557
113.800000,-0.213556,1.948103,-0.401718,-0.687205
113.820000,-0.217041,1.953781,-0.399867,-0.682497
113.840000,-0.220506,1.959697,-0.397987,-0.682878
113.860000,-0.223951,1.963865,-0.396126,-0.679544
113.880000,-0.227376,1.970004,-0.394087,-0.676640
113.900000,-0.230779,1.975568,-0.391967,-0.673076
113.920000,-0.234162,1.980980,-0.389897,-0.667907
113.940000,-0.237523,1.986181,-0.387706,-0.654792
113.960000,-0.240862,1.993693,-0.385304,-0.651226
113.980000,-0.244179,1.998163,-0.383019,-0.640513
114.000000,-0.247473,2.005593,-0.380485,-0.635479
114.020000,-0.250745,2.012506,-0.377881,-0.640751
114.040000,-0.253993,2.016852,-0.375409,-0.645199
114.060000,-0.257218,2.022041,-0.372775,-0.629723
114.080000,-0.260419,2.028545,-0.369972,-0.646026
114.100000,-0.263596,2.032246,-0.367342,-0.635779
114.120000,-0.266749,2.038309,-0.364570,-0.629201
