time,kf_x,odom_x
1751034078.174715,1.132506,0.997740
1751034078.199511,1.131066,0.995740
1751034078.226695,1.128314,0.993650
1751034078.251936,1.126535,0.991470
1751034078.276612,1.124945,0.989210
1751034078.303797,1.121728,0.986870
1751034078.329588,1.119309,0.984435
1751034078.354207,1.117467,0.981930
1751034078.380775,1.114267,0.979330
1751034078.409755,1.109338,0.976635
1751034078.436568,1.106041,0.973845
1751034078.461530,1.104061,0.970960
1751034078.486325,1.102022,0.968005
1751034078.511994,1.099049,0.964970
1751034078.539865,1.094063,0.961850
1751034078.565774,1.090798,0.958635
1751034078.589924,1.089062,0.955335
1751034078.618625,1.082859,0.951945
1751034078.643726,1.080204,0.948455
1751034078.669223,1.076955,0.944955
1751034078.691491,1.076814,0.941455
1751034078.715659,1.074281,0.937955
1751034078.738005,1.073456,0.934385
1751034078.760083,1.072543,0.930785
1751034078.783092,1.070251,0.927185
1751034078.805510,1.068388,0.923585
1751034078.827778,1.066363,0.919965
1751034078.849952,1.064248,0.916265
1751034078.872883,1.061023,0.912565
1751034078.896069,1.057372,0.908865
1751034078.918023,1.055085,0.905165
1751034078.941217,1.051110,0.901390
1751034078.963912,1.047675,0.897590
1751034078.985950,1.044919,0.893790
1751034079.007554,1.042511,0.889990
1751034079.029567,1.039339,0.886165
1751034079.051141,1.036614,0.882265
1751034079.073086,1.033243,0.878365
1751034079.094891,1.029931,0.874465
1751034079.117747,1.025176,0.870565
1751034079.141262,1.019625,0.866600
1751034079.164375,1.014690,0.862600
1751034079.187235,1.010118,0.858600
1751034079.209857,1.005853,0.854600
1751034079.233562,1.000116,0.850565
1751034079.256085,0.996065,0.846465
1751034079.277833,0.992964,0.842365
1751034079.301049,0.987743,0.838265
1751034079.323504,0.983505,0.834160
1751034079.347034,0.977854,0.829960
1751034079.372221,0.970056,0.825760
1751034079.394944,0.965919,0.821560
1751034079.417854,0.961444,0.817360
1751034079.442329,0.954781,0.813160
1751034079.464789,0.951085,0.808960
1751034079.487148,0.947397,0.804760
1751034079.509281,0.943891,0.800560
1751034079.531501,0.940117,0.796360
1751034079.553533,0.936488,0.792160
1751034079.575565,0.932729,0.787960
1751034079.598438,0.927682,0.783760
1751034079.622072,0.921605,0.779560
1751034079.644420,0.917471,0.775360
1751034079.667108,0.912789,0.771160
1751034079.688664,0.909684,0.766960
1751034079.710750,0.905648,0.762760
1751034079.732773,0.901622,0.758560
1751034079.753821,0.898887,0.754360
1751034079.776365,0.893828,0.750160
1751034079.798933,0.888777,0.745960
1751034079.820622,0.885005,0.741760
1751034079.845019,0.877316,0.737635
1751034079.868088,0.871859,0.733585
1751034079.892649,0.864475,0.729610
1751034079.919444,0.854361,0.725720
1751034079.943732,0.848323,0.721920
1751034079.970316,0.839354,0.718205
1751034079.994660,0.833971,0.714580
1751034080.023258,0.823079,0.711030
1751034080.048260,0.817738,0.707580
1751034080.075832,0.809298,0.704200
1751034080.101912,0.803295,0.700925
1751034080.130207,0.794797,0.697731
1751034080.155008,0.791133,0.694633
1751034080.179070,0.788282,0.691630
1751034080.206761,0.781057,0.688705
1751034080.229815,0.779612,0.685870
1751034080.258809,0.771271,0.683105
1751034080.284062,0.767671,0.680440
1751034080.309507,0.763917,0.677846
1751034080.335899,0.759230,0.675348
1751034080.362533,0.754464,0.672945
1751034080.390922,0.748194,0.670630
1751034080.416411,0.745147,0.668410
1751034080.441911,0.742106,0.666270
1751034080.465163,0.741143,0.664210
1751034080.494265,0.734899,0.662230
1751034080.519918,0.732086,0.660340
1751034080.548138,0.727192,0.658541
1751034080.578228,0.721221,0.656841
1751034080.609330,0.714970,0.655240
1751034080.640084,0.709617,0.653731
1751034080.668193,0.706597,0.652336
1751034080.694748,0.704711,0.651035
1751034080.725999,0.699850,0.649811
1751034080.753734,0.697575,0.648705
1751034080.780082,0.696185,0.647690
